@relation 'snake_game-weka.filters.unsupervised.attribute.Remove-R31-weka.filters.unsupervised.attribute.Remove-R5-7,9,15-18,21-26'

@attribute Head_x numeric
@attribute Head_y numeric
@attribute Food_x numeric
@attribute Food_y numeric
@attribute Dist_right_border numeric
@attribute Dist_bottom_border numeric
@attribute Dist_body_x1 numeric
@attribute Dist_body_y1 numeric
@attribute Dist_body_x2 numeric
@attribute Dist_body_y2 numeric
@attribute Tail_x numeric
@attribute Tail_y numeric
@attribute Prev_UP numeric
@attribute Prev_DOWN numeric
@attribute Prev_RIGHT numeric
@attribute direction {UP,DOWN,LEFT,RIGHT}

@data
100,50,60,350,380,430,10,0,20,0,80,50,0,0,1,RIGHT
110,50,60,350,370,430,10,0,20,0,90,50,0,0,1,RIGHT
120,50,60,350,360,430,10,0,20,0,100,50,0,0,1,RIGHT
130,50,60,350,350,430,10,0,20,0,110,50,0,0,1,RIGHT
140,50,60,350,340,430,10,0,20,0,120,50,0,0,1,RIGHT
150,50,60,350,330,430,10,0,20,0,130,50,0,0,1,DOWN
150,60,60,350,330,420,0,10,10,10,140,50,0,1,0,DOWN
150,70,60,350,330,410,0,10,0,20,150,50,0,1,0,DOWN
150,80,60,350,330,400,0,10,0,20,150,60,0,1,0,DOWN
150,90,60,350,330,390,0,10,0,20,150,70,0,1,0,DOWN
150,100,60,350,330,380,0,10,0,20,150,80,0,1,0,DOWN
150,110,60,350,330,370,0,10,0,20,150,90,0,1,0,LEFT
140,110,60,350,340,370,-10,0,-10,10,150,100,0,0,0,LEFT
130,110,60,350,350,370,-10,0,-20,0,150,110,0,0,0,LEFT
120,110,60,350,360,370,-10,0,-20,0,140,110,0,0,0,LEFT
110,110,60,350,370,370,-10,0,-20,0,130,110,0,0,0,LEFT
100,110,60,350,380,370,-10,0,-20,0,120,110,0,0,0,LEFT
90,110,60,350,390,370,-10,0,-20,0,110,110,0,0,0,LEFT
80,110,60,350,400,370,-10,0,-20,0,100,110,0,0,0,LEFT
70,110,60,350,410,370,-10,0,-20,0,90,110,0,0,0,LEFT
60,110,60,350,420,370,-10,0,-20,0,80,110,0,0,0,DOWN
60,120,60,350,420,360,0,10,-10,10,70,110,0,1,0,DOWN
60,130,60,350,420,350,0,10,0,20,60,110,0,1,0,DOWN
60,140,60,350,420,340,0,10,0,20,60,120,0,1,0,DOWN
