@relation 'snake_game-weka.filters.unsupervised.attribute.Remove-R23-weka.filters.unsupervised.attribute.Standardize-weka.filters.unsupervised.attribute.Remove-R3-4,7,9,17-18'

@attribute Head_x numeric
@attribute Head_y numeric
@attribute Dist_Food_x numeric
@attribute Dist_Food_y numeric
@attribute Dist_right_border numeric
@attribute Dist_bottom_border numeric
@attribute Dist_body_x1 numeric
@attribute Dist_body_y1 numeric
@attribute Dist_body_x2 numeric
@attribute Dist_body_y2 numeric
@attribute Dist_body_x3 numeric
@attribute Dist_body_y3 numeric
@attribute Prev_UP numeric
@attribute Prev_DOWN numeric
@attribute Prev_RIGHT numeric
@attribute direction {UP,DOWN,LEFT,RIGHT}

@data
-1.003101,-1.536327,2.065668,-0.240788,1.003101,1.536327,1.355104,-0.020272,1.378558,-0.02052,3.318423,3.321718,-0.548909,-0.570481,1.637271,RIGHT
-0.922462,-1.536327,1.990628,-0.240788,0.922462,1.536327,1.355104,-0.020272,1.378558,-0.02052,3.318423,3.321718,-0.548909,-0.570481,1.637271,RIGHT
-0.841823,-1.536327,1.915589,-0.240788,0.841823,1.536327,1.355104,-0.020272,1.378558,-0.02052,3.318423,3.321718,-0.548909,-0.570481,1.637271,RIGHT
-0.761183,-1.536327,1.840549,-0.240788,0.761183,1.536327,1.355104,-0.020272,1.378558,-0.02052,3.318423,3.321718,-0.548909,-0.570481,1.637271,RIGHT
-0.680544,-1.536327,1.76551,-0.240788,0.680544,1.536327,1.355104,-0.020272,1.378558,-0.02052,3.318423,3.321718,-0.548909,-0.570481,1.637271,RIGHT
-0.599905,-1.536327,1.69047,-0.240788,0.599905,1.536327,1.355104,-0.020272,1.378558,-0.02052,3.318423,3.321718,-0.548909,-0.570481,1.637271,RIGHT
-0.519266,-1.536327,1.615431,-0.240788,0.519266,1.536327,1.355104,-0.020272,1.378558,-0.02052,3.318423,3.321718,-0.548909,-0.570481,1.637271,RIGHT
-0.438627,-1.536327,1.540391,-0.240788,0.438627,1.536327,1.355104,-0.020272,1.378558,-0.02052,3.318423,3.321718,-0.548909,-0.570481,1.637271,RIGHT
-0.357988,-1.536327,1.465352,-0.240788,0.357988,1.536327,1.355104,-0.020272,1.378558,-0.02052,3.318423,3.321718,-0.548909,-0.570481,1.637271,RIGHT
-0.277349,-1.536327,1.390313,-0.240788,0.277349,1.536327,1.355104,-0.020272,1.378558,-0.02052,3.318423,3.321718,-0.548909,-0.570481,1.637271,RIGHT
-0.19671,-1.536327,1.315273,-0.240788,0.19671,1.536327,1.355104,-0.020272,1.378558,-0.02052,3.318423,3.321718,-0.548909,-0.570481,1.637271,RIGHT
-0.11607,-1.536327,1.240234,-0.240788,0.11607,1.536327,1.355104,-0.020272,1.378558,-0.02052,3.318423,3.321718,-0.548909,-0.570481,1.637271,RIGHT
-0.035431,-1.536327,1.165194,-0.240788,0.035431,1.536327,1.355104,-0.020272,1.378558,-0.02052,3.318423,3.321718,-0.548909,-0.570481,1.637271,RIGHT
0.045208,-1.536327,1.090155,-0.240788,-0.045208,1.536327,1.355104,-0.020272,1.378558,-0.02052,3.318423,3.321718,-0.548909,-0.570481,1.637271,RIGHT
0.125847,-1.536327,1.015115,-0.240788,-0.125847,1.536327,1.355104,-0.020272,1.378558,-0.02052,3.318423,3.321718,-0.548909,-0.570481,1.637271,RIGHT
0.206486,-1.536327,0.940076,-0.240788,-0.206486,1.536327,1.355104,-0.020272,1.378558,-0.02052,3.318423,3.321718,-0.548909,-0.570481,1.637271,RIGHT
0.287125,-1.536327,0.865036,-0.240788,-0.287125,1.536327,1.355104,-0.020272,1.378558,-0.02052,3.318423,3.321718,-0.548909,-0.570481,1.637271,RIGHT
0.367764,-1.536327,0.789997,-0.240788,-0.367764,1.536327,1.355104,-0.020272,1.378558,-0.02052,3.318423,3.321718,-0.548909,-0.570481,1.637271,RIGHT
0.448404,-1.536327,0.714957,-0.240788,-0.448404,1.536327,1.355104,-0.020272,1.378558,-0.02052,3.318423,3.321718,-0.548909,-0.570481,1.637271,RIGHT
0.529043,-1.536327,0.639918,-0.240788,-0.529043,1.536327,1.355104,-0.020272,1.378558,-0.02052,3.318423,3.321718,-0.548909,-0.570481,1.637271,RIGHT
0.609682,-1.536327,0.564879,-0.240788,-0.609682,1.536327,1.355104,-0.020272,1.378558,-0.02052,3.318423,3.321718,-0.548909,-0.570481,1.637271,RIGHT
0.690321,-1.536327,0.489839,-0.240788,-0.690321,1.536327,1.355104,-0.020272,1.378558,-0.02052,3.318423,3.321718,-0.548909,-0.570481,1.637271,RIGHT
0.77096,-1.536327,0.4148,-0.240788,-0.77096,1.536327,1.355104,-0.020272,1.378558,-0.02052,3.318423,3.321718,-0.548909,-0.570481,1.637271,RIGHT
0.851599,-1.536327,0.33976,-0.240788,-0.851599,1.536327,1.355104,-0.020272,1.378558,-0.02052,3.318423,3.321718,-0.548909,-0.570481,1.637271,RIGHT
0.932238,-1.536327,0.264721,-0.240788,-0.932238,1.536327,1.355104,-0.020272,1.378558,-0.02052,3.318423,3.321718,-0.548909,-0.570481,1.637271,RIGHT
1.012877,-1.536327,0.189681,-0.240788,-1.012877,1.536327,1.355104,-0.020272,1.378558,-0.02052,3.318423,3.321718,-0.548909,-0.570481,1.637271,RIGHT
