@relation snake_game-weka.filters.unsupervised.attribute.Remove-R31-weka.filters.unsupervised.attribute.Standardize

@attribute Head_x numeric
@attribute Head_y numeric
@attribute Food_x numeric
@attribute Food_y numeric
@attribute Dist_Food_x numeric
@attribute Dist_Food_y numeric
@attribute Dist_left_border numeric
@attribute Dist_right_border numeric
@attribute Dist_top_border numeric
@attribute Dist_bottom_border numeric
@attribute Dist_body_x1 numeric
@attribute Dist_body_y1 numeric
@attribute Dist_body_x2 numeric
@attribute Dist_body_y2 numeric
@attribute Dist_body_x3 numeric
@attribute Dist_body_y3 numeric
@attribute Dist_body_x4 numeric
@attribute Dist_body_y4 numeric
@attribute Tail_x numeric
@attribute Tail_y numeric
@attribute Dist_Tail_x numeric
@attribute Dist_Tail_y numeric
@attribute Horizontal_Weight numeric
@attribute Vertical_Weight numeric
@attribute Score numeric
@attribute Length numeric
@attribute Prev_UP numeric
@attribute Prev_DOWN numeric
@attribute Prev_RIGHT numeric
@attribute direction {UP,DOWN,LEFT,RIGHT}

@data
-1.087562,-1.607106,-1.703867,-1.782978,-0.730548,-0.364568,-1.087562,1.087562,-1.607106,1.607106,1.385979,-0.023805,1.410389,-0.024128,3.934712,3.93447,3.895569,2.247345,-1.245907,-1.592795,0.137611,-0.019589,0.011923,0.000604,-1.646571,-1.579939,-0.560386,-0.586162,1.686411,RIGHT
-1.004946,-1.607106,-1.703867,-1.782978,-0.802985,-0.364568,-1.004946,1.004946,-1.607106,1.607106,1.385979,-0.023805,1.410389,-0.024128,3.934712,3.93447,3.895569,2.247345,-1.163266,-1.592795,0.137611,-0.019589,0.011923,0.000604,-1.647711,-1.579939,-0.560386,-0.586162,1.686411,RIGHT
-0.922331,-1.607106,-1.703867,-1.782978,-0.875423,-0.364568,-0.922331,0.922331,-1.607106,1.607106,1.385979,-0.023805,1.410389,-0.024128,3.934712,3.93447,3.895569,2.247345,-1.080624,-1.592795,0.137611,-0.019589,0.011923,0.000604,-1.64885,-1.579939,-0.560386,-0.586162,1.686411,RIGHT
-0.839716,-1.607106,-1.703867,-1.782978,-0.94786,-0.364568,-0.839716,0.839716,-1.607106,1.607106,1.385979,-0.023805,1.410389,-0.024128,3.934712,3.93447,3.895569,2.247345,-0.997983,-1.592795,0.137611,-0.019589,0.011923,0.000604,-1.64999,-1.579939,-0.560386,-0.586162,1.686411,RIGHT
-0.7571,-1.607106,-1.703867,-1.782978,-1.020297,-0.364568,-0.7571,0.7571,-1.607106,1.607106,1.385979,-0.023805,1.410389,-0.024128,3.934712,3.93447,3.895569,2.247345,-0.915342,-1.592795,0.137611,-0.019589,0.011923,0.000604,-1.651129,-1.579939,-0.560386,-0.586162,1.686411,RIGHT
-0.674485,-1.607106,-1.703867,-1.782978,-1.092734,-0.364568,-0.674485,0.674485,-1.607106,1.607106,1.385979,-0.023805,1.410389,-0.024128,3.934712,3.93447,3.895569,2.247345,-0.8327,-1.592795,0.137611,-0.019589,0.011923,0.000604,-1.652269,-1.579939,-0.560386,-0.586162,1.686411,RIGHT
-0.59187,-1.607106,-1.703867,-1.782978,-1.165171,-0.364568,-0.59187,0.59187,-1.607106,1.607106,1.385979,-0.023805,1.410389,-0.024128,3.934712,3.93447,3.895569,2.247345,-0.750059,-1.592795,0.137611,-0.019589,0.011923,0.000604,-1.653408,-1.579939,-0.560386,-0.586162,1.686411,RIGHT
-0.509254,-1.607106,-1.703867,-1.782978,-1.237608,-0.364568,-0.509254,0.509254,-1.607106,1.607106,1.385979,-0.023805,1.410389,-0.024128,3.934712,3.93447,3.895569,2.247345,-0.667418,-1.592795,0.137611,-0.019589,0.011923,0.000604,-1.654548,-1.579939,-0.560386,-0.586162,1.686411,RIGHT
-0.426639,-1.607106,-1.703867,-1.782978,-1.310045,-0.364568,-0.426639,0.426639,-1.607106,1.607106,1.385979,-0.023805,1.410389,-0.024128,3.934712,3.93447,3.895569,2.247345,-0.584776,-1.592795,0.137611,-0.019589,0.011923,0.000604,-1.655687,-1.579939,-0.560386,-0.586162,1.686411,RIGHT
-0.344024,-1.607106,-1.703867,-1.782978,-1.382483,-0.364568,-0.344024,0.344024,-1.607106,1.607106,1.385979,-0.023805,1.410389,-0.024128,3.934712,3.93447,3.895569,2.247345,-0.502135,-1.592795,0.137611,-0.019589,0.011923,0.000604,-1.656827,-1.579939,-0.560386,-0.586162,1.686411,RIGHT
