@relation snake_game-weka.filters.unsupervised.attribute.Remove-R29-weka.filters.unsupervised.attribute.Standardize

@attribute Head_x numeric
@attribute Head_y numeric
@attribute Food_x numeric
@attribute Food_y numeric
@attribute Dist_Food_x numeric
@attribute Dist_Food_y numeric
@attribute Dist_left_border numeric
@attribute Dist_right_border numeric
@attribute Dist_top_border numeric
@attribute Dist_bottom_border numeric
@attribute Dist_body_x1 numeric
@attribute Dist_body_y1 numeric
@attribute Dist_body_x2 numeric
@attribute Dist_body_y2 numeric
@attribute Dist_body_x3 numeric
@attribute Dist_body_y3 numeric
@attribute Dist_body_x4 numeric
@attribute Dist_body_y4 numeric
@attribute Tail_x numeric
@attribute Tail_y numeric
@attribute Dist_Tail_x numeric
@attribute Dist_Tail_y numeric
@attribute Horizontal_Weight numeric
@attribute Vertical_Weight numeric
@attribute Prev_UP numeric
@attribute Prev_DOWN numeric
@attribute Prev_RIGHT numeric
@attribute direction {UP,DOWN,LEFT,RIGHT}

@data
-1.014921,-1.490383,1.091555,-1.176743,2.591432,0.093215,-1.014921,1.014921,-1.490383,1.490383,1.376646,-0.030309,1.397055,-0.030748,3.592098,3.593354,3.560673,2.144552,-1.167384,-1.488025,0.197092,-0.003337,0.000256,-0.000115,-0.55169,-0.584283,1.671494,RIGHT
-0.932736,-1.490383,1.091555,-1.176743,2.498489,0.093215,-0.932736,0.932736,-1.490383,1.490383,1.376646,-0.030309,1.397055,-0.030748,3.592098,3.593354,3.560673,2.144552,-1.085768,-1.488025,0.197092,-0.003337,0.000256,-0.000115,-0.55169,-0.584283,1.671494,RIGHT
-0.850551,-1.490383,1.091555,-1.176743,2.405546,0.093215,-0.850551,0.850551,-1.490383,1.490383,1.376646,-0.030309,1.397055,-0.030748,3.592098,3.593354,3.560673,2.144552,-1.004153,-1.488025,0.197092,-0.003337,0.000256,-0.000115,-0.55169,-0.584283,1.671494,RIGHT
-0.768367,-1.490383,1.091555,-1.176743,2.312603,0.093215,-0.768367,0.768367,-1.490383,1.490383,1.376646,-0.030309,1.397055,-0.030748,3.592098,3.593354,3.560673,2.144552,-0.922538,-1.488025,0.197092,-0.003337,0.000256,-0.000115,-0.55169,-0.584283,1.671494,RIGHT
-0.686182,-1.490383,1.091555,-1.176743,2.21966,0.093215,-0.686182,0.686182,-1.490383,1.490383,1.376646,-0.030309,1.397055,-0.030748,3.592098,3.593354,3.560673,2.144552,-0.840922,-1.488025,0.197092,-0.003337,0.000256,-0.000115,-0.55169,-0.584283,1.671494,RIGHT
-0.603997,-1.490383,1.091555,-1.176743,2.126717,0.093215,-0.603997,0.603997,-1.490383,1.490383,1.376646,-0.030309,1.397055,-0.030748,3.592098,3.593354,3.560673,2.144552,-0.759307,-1.488025,0.197092,-0.003337,0.000256,-0.000115,-0.55169,-0.584283,1.671494,RIGHT
-0.521813,-1.490383,1.091555,-1.176743,2.033774,0.093215,-0.521813,0.521813,-1.490383,1.490383,1.376646,-0.030309,1.397055,-0.030748,3.592098,3.593354,3.560673,2.144552,-0.677692,-1.488025,0.197092,-0.003337,0.000256,-0.000115,-0.55169,-0.584283,1.671494,RIGHT
-0.439628,-1.490383,1.091555,-1.176743,1.940831,0.093215,-0.439628,0.439628,-1.490383,1.490383,1.376646,-0.030309,1.397055,-0.030748,3.592098,3.593354,3.560673,2.144552,-0.596076,-1.488025,0.197092,-0.003337,0.000256,-0.000115,-0.55169,-0.584283,1.671494,RIGHT
-0.357443,-1.490383,1.091555,-1.176743,1.847888,0.093215,-0.357443,0.357443,-1.490383,1.490383,1.376646,-0.030309,1.397055,-0.030748,3.592098,3.593354,3.560673,2.144552,-0.514461,-1.488025,0.197092,-0.003337,0.000256,-0.000115,-0.55169,-0.584283,1.671494,RIGHT
-0.275259,-1.490383,1.091555,-1.176743,1.754945,0.093215,-0.275259,0.275259,-1.490383,1.490383,1.376646,-0.030309,1.397055,-0.030748,3.592098,3.593354,3.560673,2.144552,-0.432846,-1.488025,0.197092,-0.003337,0.000256,-0.000115,-0.55169,-0.584283,1.671494,RIGHT
