@relation snake_game-weka.filters.unsupervised.attribute.Remove-R31-weka.filters.unsupervised.attribute.Standardize

@attribute Head_x numeric
@attribute Head_y numeric
@attribute Food_x numeric
@attribute Food_y numeric
@attribute Dist_Food_x numeric
@attribute Dist_Food_y numeric
@attribute Dist_left_border numeric
@attribute Dist_right_border numeric
@attribute Dist_top_border numeric
@attribute Dist_bottom_border numeric
@attribute Dist_body_x1 numeric
@attribute Dist_body_y1 numeric
@attribute Dist_body_x2 numeric
@attribute Dist_body_y2 numeric
@attribute Dist_body_x3 numeric
@attribute Dist_body_y3 numeric
@attribute Dist_body_x4 numeric
@attribute Dist_body_y4 numeric
@attribute Tail_x numeric
@attribute Tail_y numeric
@attribute Dist_Tail_x numeric
@attribute Dist_Tail_y numeric
@attribute Horizontal_Weight numeric
@attribute Vertical_Weight numeric
@attribute Score numeric
@attribute Length numeric
@attribute Prev_UP numeric
@attribute Prev_DOWN numeric
@attribute Prev_RIGHT numeric
@attribute direction {UP,DOWN,LEFT,RIGHT}

@data
-1.152907,-1.477814,1.399091,0.814034,3.025847,1.665981,-1.152907,1.152907,-1.477814,1.477814,1.391164,-0.035046,1.413721,-0.035718,3.205771,3.205797,3.183429,2.107697,-1.311977,-1.481838,0.172099,-0.001401,0.017928,0.007722,-1.208891,-1.255356,-0.56245,-0.600804,1.694313,RIGHT
-1.069887,-1.477814,1.399091,0.814034,2.936551,1.665981,-1.069887,1.069887,-1.477814,1.477814,1.391164,-0.035046,1.413721,-0.035718,3.205771,3.205797,3.183429,2.107697,-1.228326,-1.481838,0.172099,-0.001401,0.017928,0.007722,-1.210107,-1.255356,-0.56245,-0.600804,1.694313,RIGHT
-0.986866,-1.477814,1.399091,0.814034,2.847256,1.665981,-0.986866,0.986866,-1.477814,1.477814,1.391164,-0.035046,1.413721,-0.035718,3.205771,3.205797,3.183429,2.107697,-1.144675,-1.481838,0.172099,-0.001401,0.017928,0.007722,-1.211322,-1.255356,-0.56245,-0.600804,1.694313,RIGHT
-0.903846,-1.477814,1.399091,0.814034,2.75796,1.665981,-0.903846,0.903846,-1.477814,1.477814,1.391164,-0.035046,1.413721,-0.035718,3.205771,3.205797,3.183429,2.107697,-1.061023,-1.481838,0.172099,-0.001401,0.017928,0.007722,-1.212537,-1.255356,-0.56245,-0.600804,1.694313,RIGHT
-0.820825,-1.477814,1.399091,0.814034,2.668664,1.665981,-0.820825,0.820825,-1.477814,1.477814,1.391164,-0.035046,1.413721,-0.035718,3.205771,3.205797,3.183429,2.107697,-0.977372,-1.481838,0.172099,-0.001401,0.017928,0.007722,-1.213753,-1.255356,-0.56245,-0.600804,1.694313,RIGHT
-0.737805,-1.477814,1.399091,0.814034,2.579369,1.665981,-0.737805,0.737805,-1.477814,1.477814,1.391164,-0.035046,1.413721,-0.035718,3.205771,3.205797,3.183429,2.107697,-0.893721,-1.481838,0.172099,-0.001401,0.017928,0.007722,-1.214968,-1.255356,-0.56245,-0.600804,1.694313,RIGHT
-0.654785,-1.477814,1.399091,0.814034,2.490073,1.665981,-0.654785,0.654785,-1.477814,1.477814,1.391164,-0.035046,1.413721,-0.035718,3.205771,3.205797,3.183429,2.107697,-0.81007,-1.481838,0.172099,-0.001401,0.017928,0.007722,-1.216183,-1.255356,-0.56245,-0.600804,1.694313,RIGHT
-0.571764,-1.477814,1.399091,0.814034,2.400777,1.665981,-0.571764,0.571764,-1.477814,1.477814,1.391164,-0.035046,1.413721,-0.035718,3.205771,3.205797,3.183429,2.107697,-0.726419,-1.481838,0.172099,-0.001401,0.017928,0.007722,-1.217399,-1.255356,-0.56245,-0.600804,1.694313,RIGHT
-0.488744,-1.477814,1.399091,0.814034,2.311482,1.665981,-0.488744,0.488744,-1.477814,1.477814,1.391164,-0.035046,1.413721,-0.035718,3.205771,3.205797,3.183429,2.107697,-0.642767,-1.481838,0.172099,-0.001401,0.017928,0.007722,-1.218614,-1.255356,-0.56245,-0.600804,1.694313,RIGHT
-0.405723,-1.477814,1.399091,0.814034,2.222186,1.665981,-0.405723,0.405723,-1.477814,1.477814,1.391164,-0.035046,1.413721,-0.035718,3.205771,3.205797,3.183429,2.107697,-0.559116,-1.481838,0.172099,-0.001401,0.017928,0.007722,-1.219829,-1.255356,-0.56245,-0.600804,1.694313,RIGHT
-0.322703,-1.477814,1.399091,0.814034,2.13289,1.665981,-0.322703,0.322703,-1.477814,1.477814,1.391164,-0.035046,1.413721,-0.035718,3.205771,3.205797,3.183429,2.107697,-0.475465,-1.481838,0.172099,-0.001401,0.017928,0.007722,-1.221045,-1.255356,-0.56245,-0.600804,1.694313,RIGHT
