@relation InstanceResultListener

@attribute Key_Dataset {'snake_game-weka.filters.unsupervised.attribute.Remove-R23-weka.filters.unsupervised.attribute.Standardize-weka.filters.supervised.instance.Resample-B0.0-S1-Z80.0-no-replacement-weka.filters.unsupervised.attribute.Remove-R3-4,7,9,17-18'}
@attribute Key_Run {1,2,3,4,5}
@attribute Key_Fold {1,2,3,4,5}
@attribute Key_Scheme {weka.classifiers.meta.LogitBoost,weka.classifiers.lazy.IBk,weka.classifiers.functions.MultilayerPerceptron,weka.classifiers.functions.SMO}
@attribute Key_Scheme_options {'-P 100 -L -1.7976931348623157E308 -H 1.0 -Z 3.0 -O 1 -E 1 -S 1 -I 10 -W weka.classifiers.trees.DecisionStump','-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"','-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a','-C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.PolyKernel -E 1.0 -C 250007\" -calibrator \"weka.classifiers.functions.Logistic -R 1.0E-8 -M -1 -num-decimal-places 4\"'}
@attribute Key_Scheme_version_ID {-1105660358715833753,-3080186098777067172,-5990607817048210779,-6585883636378691736}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string

@data

'snake_game-weka.filters.unsupervised.attribute.Remove-R23-weka.filters.unsupervised.attribute.Standardize-weka.filters.supervised.instance.Resample-B0.0-S1-Z80.0-no-replacement-weka.filters.unsupervised.attribute.Remove-R3-4,7,9,17-18',1,1,weka.classifiers.meta.LogitBoost,'-P 100 -L -1.7976931348623157E308 -H 1.0 -Z 3.0 -O 1 -E 1 -S 1 -I 10 -W weka.classifiers.trees.DecisionStump',-1105660358715833753,20250328.183,6444,1611,1497,114,0,92.92365,7.07635,0,0.905533,0.061565,0.168003,16.435142,38.819553,3218.239476,505.588385,2712.651091,1.997666,0.313835,1.683831,2815.025638,1.747378,87.470981,0.914209,341,0.023425,29,0.976575,1209,0.085791,32,0.921622,0.914209,0.9179,0.893307,0.990686,0.96895,0.929236,0.023737,0.976263,0.070764,0.929367,0.929236,0.929223,0.90565,0.991086,0.974434,0.928999,0.929236,0.367,0.007,0.34375,0,343.75,0,9231,1013840,255059,99.193048,35.583489,?
'snake_game-weka.filters.unsupervised.attribute.Remove-R23-weka.filters.unsupervised.attribute.Standardize-weka.filters.supervised.instance.Resample-B0.0-S1-Z80.0-no-replacement-weka.filters.unsupervised.attribute.Remove-R3-4,7,9,17-18',1,2,weka.classifiers.meta.LogitBoost,'-P 100 -L -1.7976931348623157E308 -H 1.0 -Z 3.0 -O 1 -E 1 -S 1 -I 10 -W weka.classifiers.trees.DecisionStump',-1105660358715833753,20250328.183,6444,1611,1486,125,0,92.240844,7.759156,0,0.896424,0.06637,0.175522,17.717919,40.55698,3218.239476,541.753795,2676.48568,1.997666,0.336284,1.661382,2780.967203,1.726237,86.412687,0.908847,339,0.026656,33,0.973344,1205,0.091153,34,0.91129,0.908847,0.910067,0.88302,0.989941,0.96652,0.922408,0.026008,0.973992,0.077592,0.922441,0.922408,0.922416,0.896468,0.98999,0.971122,0.922239,0.922408,0.365,0.003,0.34375,0,343.75,0,9231,1013840,255059,99.255121,36.66977,?
'snake_game-weka.filters.unsupervised.attribute.Remove-R23-weka.filters.unsupervised.attribute.Standardize-weka.filters.supervised.instance.Resample-B0.0-S1-Z80.0-no-replacement-weka.filters.unsupervised.attribute.Remove-R3-4,7,9,17-18',1,3,weka.classifiers.meta.LogitBoost,'-P 100 -L -1.7976931348623157E308 -H 1.0 -Z 3.0 -O 1 -E 1 -S 1 -I 10 -W weka.classifiers.trees.DecisionStump',-1105660358715833753,20250328.183,6444,1611,1502,109,0,93.234016,6.765984,0,0.909691,0.060993,0.165203,16.282478,38.172715,3218.239476,493.148741,2725.090735,1.997666,0.306113,1.691552,2820.613911,1.750847,87.644625,0.922252,344,0.022617,28,0.977383,1210,0.077748,29,0.924731,0.922252,0.92349,0.90048,0.992692,0.977473,0.93234,0.022527,0.977473,0.06766,0.932359,0.93234,0.932345,0.90981,0.991702,0.97731,0.932022,0.93234,0.408,0.004,0.390625,0.015625,390.625,15.625,9231,1013840,255059,99.255121,36.064556,?
'snake_game-weka.filters.unsupervised.attribute.Remove-R23-weka.filters.unsupervised.attribute.Standardize-weka.filters.supervised.instance.Resample-B0.0-S1-Z80.0-no-replacement-weka.filters.unsupervised.attribute.Remove-R3-4,7,9,17-18',1,4,weka.classifiers.meta.LogitBoost,'-P 100 -L -1.7976931348623157E308 -H 1.0 -Z 3.0 -O 1 -E 1 -S 1 -I 10 -W weka.classifiers.trees.DecisionStump',-1105660358715833753,20250328.183,6444,1611,1496,115,0,92.861577,7.138423,0,0.90471,0.061696,0.168792,16.470295,39.001989,3218.239476,504.147956,2714.09152,1.997666,0.312941,1.684725,2813.919817,1.746691,87.43662,0.914209,341,0.021809,27,0.978191,1211,0.085791,32,0.92663,0.914209,0.920378,0.896633,0.990918,0.970423,0.928616,0.023914,0.976086,0.071384,0.92874,0.928616,0.928607,0.90481,0.9912,0.975089,0.928416,0.928616,0.408,0.003,0.40625,0,406.25,0,9231,1013840,255059,99.317194,36.421477,?
'snake_game-weka.filters.unsupervised.attribute.Remove-R23-weka.filters.unsupervised.attribute.Standardize-weka.filters.supervised.instance.Resample-B0.0-S1-Z80.0-no-replacement-weka.filters.unsupervised.attribute.Remove-R3-4,7,9,17-18',1,5,weka.classifiers.meta.LogitBoost,'-P 100 -L -1.7976931348623157E308 -H 1.0 -Z 3.0 -O 1 -E 1 -S 1 -I 10 -W weka.classifiers.trees.DecisionStump',-1105660358715833753,20250328.183,6444,1611,1505,106,0,93.420236,6.579764,0,0.912204,0.062086,0.166036,16.574557,38.365708,3218.129631,508.469396,2709.660236,1.997598,0.315623,1.681974,2817.30464,1.748792,87.544784,0.938338,350,0.029887,37,0.970113,1201,0.061662,23,0.904393,0.938338,0.921053,0.896954,0.985582,0.961773,0.934202,0.021683,0.978317,0.065798,0.934552,0.934202,0.934265,0.912441,0.990101,0.97231,0.933982,0.934202,0.389,0.003,0.375,0,375,0,9231,1013840,255059,99.130975,37.86468,?
'snake_game-weka.filters.unsupervised.attribute.Remove-R23-weka.filters.unsupervised.attribute.Standardize-weka.filters.supervised.instance.Resample-B0.0-S1-Z80.0-no-replacement-weka.filters.unsupervised.attribute.Remove-R3-4,7,9,17-18',2,1,weka.classifiers.meta.LogitBoost,'-P 100 -L -1.7976931348623157E308 -H 1.0 -Z 3.0 -O 1 -E 1 -S 1 -I 10 -W weka.classifiers.trees.DecisionStump',-1105660358715833753,20250328.183,6444,1611,1496,115,0,92.861577,7.138423,0,0.904724,0.063481,0.172606,16.946798,39.8839,3218.129631,535.715332,2682.4143,1.997598,0.332536,1.665062,2801.412539,1.738928,87.050954,0.927614,346,0.027464,34,0.972536,1204,0.072386,27,0.910526,0.927614,0.918991,0.894353,0.988273,0.961996,0.928616,0.023783,0.976217,0.071384,0.928753,0.928616,0.92864,0.904833,0.989504,0.969734,0.928433,0.928616,0.37,0.003,0.34375,0,343.75,0,9231,1013840,255059,99.255121,37.895717,?
'snake_game-weka.filters.unsupervised.attribute.Remove-R23-weka.filters.unsupervised.attribute.Standardize-weka.filters.supervised.instance.Resample-B0.0-S1-Z80.0-no-replacement-weka.filters.unsupervised.attribute.Remove-R3-4,7,9,17-18',2,2,weka.classifiers.meta.LogitBoost,'-P 100 -L -1.7976931348623157E308 -H 1.0 -Z 3.0 -O 1 -E 1 -S 1 -I 10 -W weka.classifiers.trees.DecisionStump',-1105660358715833753,20250328.183,6444,1611,1499,112,0,93.047796,6.952204,0,0.90719,0.059728,0.166518,15.944785,38.47663,3218.239476,497.284068,2720.955408,1.997666,0.30868,1.688985,2826.016129,1.7542,87.812487,0.914209,341,0.027464,34,0.972536,1204,0.085791,32,0.909333,0.914209,0.911765,0.885093,0.991093,0.974388,0.930478,0.023356,0.976644,0.069522,0.930778,0.930478,0.930527,0.90735,0.991301,0.975838,0.930344,0.930478,0.356,0.003,0.328125,0,328.125,0,9231,1013840,255059,99.317194,35.443824,?
'snake_game-weka.filters.unsupervised.attribute.Remove-R23-weka.filters.unsupervised.attribute.Standardize-weka.filters.supervised.instance.Resample-B0.0-S1-Z80.0-no-replacement-weka.filters.unsupervised.attribute.Remove-R3-4,7,9,17-18',2,3,weka.classifiers.meta.LogitBoost,'-P 100 -L -1.7976931348623157E308 -H 1.0 -Z 3.0 -O 1 -E 1 -S 1 -I 10 -W weka.classifiers.trees.DecisionStump',-1105660358715833753,20250328.183,6444,1611,1508,103,0,93.606456,6.393544,0,0.914646,0.062615,0.164823,16.715394,38.08498,3218.239476,498.776056,2719.463419,1.997666,0.309606,1.688059,2816.070549,1.748026,87.503449,0.922252,344,0.018578,23,0.981422,1215,0.077748,29,0.93733,0.922252,0.92973,0.908831,0.989702,0.970759,0.936065,0.021513,0.978487,0.063935,0.936115,0.936065,0.936058,0.914677,0.991279,0.975778,0.935957,0.936065,0.392,0.002,0.375,0,375,0,9231,1013840,255059,99.379268,37.026691,?
'snake_game-weka.filters.unsupervised.attribute.Remove-R23-weka.filters.unsupervised.attribute.Standardize-weka.filters.supervised.instance.Resample-B0.0-S1-Z80.0-no-replacement-weka.filters.unsupervised.attribute.Remove-R3-4,7,9,17-18',2,4,weka.classifiers.meta.LogitBoost,'-P 100 -L -1.7976931348623157E308 -H 1.0 -Z 3.0 -O 1 -E 1 -S 1 -I 10 -W weka.classifiers.trees.DecisionStump',-1105660358715833753,20250328.183,6444,1611,1488,123,0,92.364991,7.635009,0,0.898084,0.063491,0.1755,16.949316,40.551984,3218.239476,539.09629,2679.143186,1.997666,0.334635,1.663031,2796.574357,1.735924,86.897646,0.906166,338,0.026656,33,0.973344,1205,0.093834,35,0.911051,0.906166,0.908602,0.881166,0.988114,0.962264,0.92365,0.025466,0.974534,0.07635,0.923671,0.92365,0.923616,0.898226,0.989965,0.971446,0.923226,0.92365,0.337,0.003,0.34375,0,343.75,0,9231,1013840,255059,99.068901,35.583489,?
