@relation InstanceResultListener

@attribute Key_Dataset {'snake_game-weka.filters.unsupervised.attribute.Remove-R23-weka.filters.supervised.instance.Resample-B0.0-S1-Z80.0-no-replacement-weka.filters.unsupervised.attribute.Remove-R3-4,7,9,17-18'}
@attribute Key_Run {1,2,3,4,5}
@attribute Key_Fold {1,2,3,4,5}
@attribute Key_Scheme {weka.classifiers.trees.DecisionStump,weka.classifiers.trees.RandomForest,weka.classifiers.meta.AdaBoostM1}
@attribute Key_Scheme_options {'','-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1','-P 100 -S 1 -I 10 -W weka.classifiers.trees.DecisionStump'}
@attribute Key_Scheme_version_ID {1618384535950391,1116839470751428698,-1178107808933117974}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string
@attribute measureOutOfBagError numeric

@data

'snake_game-weka.filters.unsupervised.attribute.Remove-R23-weka.filters.supervised.instance.Resample-B0.0-S1-Z80.0-no-replacement-weka.filters.unsupervised.attribute.Remove-R3-4,7,9,17-18',1,1,weka.classifiers.trees.DecisionStump,'',1618384535950391,20250328.1839,6444,1611,813,798,0,50.465549,49.534451,0,0.333489,0.26571,0.364794,70.933111,84.291183,3218.239476,2198.357228,1019.882248,1.997666,1.364592,0.633074,1183.2876,0.734505,36.768165,0,0,0,0,1,1238,1,373,?,0,?,?,0.652881,0.303507,0.504655,0.167048,0.832952,0.495345,?,0.504655,?,?,0.741613,0.476075,?,0.504655,0.011,0.003,0.015625,0,15.625,0,2429,1013792,255011,97.33085,68.187461,?,?
'snake_game-weka.filters.unsupervised.attribute.Remove-R23-weka.filters.supervised.instance.Resample-B0.0-S1-Z80.0-no-replacement-weka.filters.unsupervised.attribute.Remove-R3-4,7,9,17-18',1,2,weka.classifiers.trees.DecisionStump,'',1618384535950391,20250328.1839,6444,1611,807,804,0,50.09311,49.90689,0,0.328489,0.267359,0.367598,71.373217,84.939141,3218.239476,2246.567984,971.671491,1.997666,1.394518,0.603148,1170.153659,0.726352,36.360055,0,0,0,0,1,1238,1,373,?,0,?,?,0.647244,0.300216,0.500931,0.168411,0.831589,0.499069,?,0.500931,?,?,0.736839,0.469339,?,0.500931,0.012,0.002,0.015625,0,15.625,0,2429,1013792,255011,96.772191,68.20298,?,?
'snake_game-weka.filters.unsupervised.attribute.Remove-R23-weka.filters.supervised.instance.Resample-B0.0-S1-Z80.0-no-replacement-weka.filters.unsupervised.attribute.Remove-R3-4,7,9,17-18',1,3,weka.classifiers.trees.DecisionStump,'',1618384535950391,20250328.1839,6444,1611,814,797,0,50.527623,49.472377,0,0.33438,0.265329,0.363107,70.831402,83.901343,3218.239476,2173.952414,1044.287062,1.997666,1.349443,0.648223,1187.533465,0.737141,36.900096,0,0,0,0,1,1238,1,373,?,0,?,?,0.657839,0.30635,0.505276,0.166704,0.833296,0.494724,?,0.505276,?,?,0.74356,0.480249,?,0.505276,0.007,0.001,0.015625,0,15.625,0,2429,1013792,255011,97.641217,68.265053,?,?
'snake_game-weka.filters.unsupervised.attribute.Remove-R23-weka.filters.supervised.instance.Resample-B0.0-S1-Z80.0-no-replacement-weka.filters.unsupervised.attribute.Remove-R3-4,7,9,17-18',1,4,weka.classifiers.trees.DecisionStump,'',1618384535950391,20250328.1839,6444,1611,812,799,0,50.403476,49.596524,0,0.332676,0.265937,0.364811,70.993578,84.295065,3218.239476,2201.277236,1016.962239,1.997666,1.366404,0.631261,1181.880567,0.733632,36.724444,0,0,0,0,1,1238,1,373,?,0,?,?,0.64684,0.299969,0.504035,0.167234,0.832766,0.495965,?,0.504035,?,?,0.741255,0.476067,?,0.504035,0.007,0.001,0.015625,0,15.625,0,2429,1013792,255011,97.082557,68.218498,?,?
'snake_game-weka.filters.unsupervised.attribute.Remove-R23-weka.filters.supervised.instance.Resample-B0.0-S1-Z80.0-no-replacement-weka.filters.unsupervised.attribute.Remove-R3-4,7,9,17-18',1,5,weka.classifiers.trees.DecisionStump,'',1618384535950391,20250328.1839,6444,1611,811,800,0,50.341403,49.658597,0,0.332178,0.265866,0.363309,70.975668,83.949527,3218.129631,2181.67924,1036.450391,1.997598,1.354239,0.643358,1184.14438,0.735037,36.796044,0,0,0,0,1,1238,1,373,?,0,?,?,0.657968,0.306363,0.503414,0.166767,0.833233,0.496586,?,0.503414,?,?,0.742634,0.47991,?,0.503414,0.005,0,0,0,0,0,2429,1013792,255011,97.51707,68.327126,?,?
'snake_game-weka.filters.unsupervised.attribute.Remove-R23-weka.filters.supervised.instance.Resample-B0.0-S1-Z80.0-no-replacement-weka.filters.unsupervised.attribute.Remove-R3-4,7,9,17-18',2,1,weka.classifiers.trees.DecisionStump,'',1618384535950391,20250328.1839,6444,1611,810,801,0,50.27933,49.72067,0,0.331297,0.266225,0.364747,71.071316,84.281753,3218.129631,2202.697937,1015.431694,1.997598,1.367286,0.630311,1180.314254,0.732659,36.677026,0,0,0,0,1,1238,1,373,?,0,?,?,0.652606,0.303272,0.502793,0.167095,0.832905,0.497207,?,0.502793,?,?,0.740912,0.476298,?,0.502793,0.005,0,0,0,0,0,2429,1013792,255011,97.206704,68.265053,?,?
'snake_game-weka.filters.unsupervised.attribute.Remove-R23-weka.filters.supervised.instance.Resample-B0.0-S1-Z80.0-no-replacement-weka.filters.unsupervised.attribute.Remove-R3-4,7,9,17-18',2,2,weka.classifiers.trees.DecisionStump,'',1618384535950391,20250328.1839,6444,1611,811,800,0,50.341403,49.658597,0,0.331774,0.266367,0.36679,71.108442,84.752367,3218.239476,2228.976584,989.262892,1.997666,1.383598,0.614068,1177.06278,0.730641,36.574742,0,0,0,0,1,1238,1,373,?,0,?,?,0.652752,0.303492,0.503414,0.1676,0.8324,0.496586,?,0.503414,?,?,0.739033,0.471321,?,0.503414,0.006,0,0,0,0,0,2429,1013792,255011,97.144631,68.125388,?,?
'snake_game-weka.filters.unsupervised.attribute.Remove-R23-weka.filters.supervised.instance.Resample-B0.0-S1-Z80.0-no-replacement-weka.filters.unsupervised.attribute.Remove-R3-4,7,9,17-18',2,3,weka.classifiers.trees.DecisionStump,'',1618384535950391,20250328.1839,6444,1611,814,797,0,50.527623,49.472377,0,0.334313,0.265453,0.364521,70.86441,84.228187,3218.239476,2193.401041,1024.838435,1.997666,1.361515,0.63615,1185.140151,0.735655,36.825729,0,0,0,0,1,1238,1,373,?,0,?,?,0.651541,0.302738,0.505276,0.166839,0.833161,0.494724,?,0.505276,?,?,0.74223,0.476735,?,0.505276,0.005,0,0,0,0,0,2429,1013792,255011,97.33085,68.171943,?,?
'snake_game-weka.filters.unsupervised.attribute.Remove-R23-weka.filters.supervised.instance.Resample-B0.0-S1-Z80.0-no-replacement-weka.filters.unsupervised.attribute.Remove-R3-4,7,9,17-18',2,4,weka.classifiers.trees.DecisionStump,'',1618384535950391,20250328.1839,6444,1611,810,801,0,50.27933,49.72067,0,0.331006,0.266492,0.365824,71.141817,84.529274,3218.239476,2218.281609,999.957867,1.997666,1.376959,0.620706,1177.376961,0.730836,36.584504,0,0,0,0,1,1238,1,373,?,0,?,?,0.645096,0.298966,0.502793,0.167696,0.832304,0.497207,?,0.502793,?,?,0.739587,0.473613,?,0.502793,0.005,0.001,0,0,0,0,2429,1013792,255011,96.896338,68.218498,?,?
