@relation InstanceResultListener

@attribute Key_Dataset {snake_game-weka.filters.unsupervised.attribute.Remove-R31-weka.filters.supervised.instance.Resample-B0.0-S1-Z80.0-no-replacement}
@attribute Key_Run {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.trees.RandomForest,weka.classifiers.meta.AdaBoostM1,weka.classifiers.trees.DecisionStump}
@attribute Key_Scheme_options {'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1','-P 100 -S 1 -I 10 -W weka.classifiers.trees.DecisionStump',''}
@attribute Key_Scheme_version_ID {1116839470751428698,-1178107808933117974,1618384535950391}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string
@attribute measureOutOfBagError numeric

@data

snake_game-weka.filters.unsupervised.attribute.Remove-R31-weka.filters.supervised.instance.Resample-B0.0-S1-Z80.0-no-replacement,1,1,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20250328.1758,8687,966,886,80,0,91.718427,8.281573,0,0.889546,0.05249,0.176404,14.002289,40.745963,1931.249555,4574.089899,-2642.840343,1.999223,4.735083,-2.73586,1710.733924,1.770946,88.581712,0.926407,214,0.02449,18,0.97551,717,0.073593,17,0.922414,0.926407,0.924406,0.900584,0.992111,0.969617,0.917184,0.027519,0.972481,0.082816,0.917584,0.917184,0.917061,0.889807,0.990078,0.974121,0.916868,0.917184,2.045,0.045,1.921875,0.046875,1921.875,46.875,8941166,2339561,262612,98.136646,31.13354,?,-1
snake_game-weka.filters.unsupervised.attribute.Remove-R31-weka.filters.supervised.instance.Resample-B0.0-S1-Z80.0-no-replacement,1,2,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20250328.1758,8687,966,895,71,0,92.650104,7.349896,0,0.901975,0.052697,0.17463,14.057519,40.336208,1931.249555,5640.553319,-3709.303763,1.999223,5.839082,-3.839859,1713.205981,1.773505,88.709715,0.930736,215,0.027211,20,0.972789,715,0.069264,16,0.914894,0.930736,0.922747,0.89825,0.991716,0.975818,0.926501,0.02439,0.97561,0.073499,0.926595,0.926501,0.926522,0.902093,0.989108,0.972482,0.926324,0.926501,1.881,0.033,1.71875,0.03125,1718.75,31.25,8848122,2339561,262612,98.654244,31.858178,?,-1
snake_game-weka.filters.unsupervised.attribute.Remove-R31-weka.filters.supervised.instance.Resample-B0.0-S1-Z80.0-no-replacement,1,3,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20250328.1758,8687,966,899,67,0,93.064182,6.935818,0,0.907497,0.049374,0.164833,13.171071,38.073418,1931.249555,4533.841065,-2602.59151,1.999223,4.693417,-2.694194,1729.771296,1.790654,89.567466,0.922078,213,0.029932,22,0.970068,713,0.077922,18,0.906383,0.922078,0.914163,0.886937,0.992906,0.978981,0.930642,0.02308,0.97692,0.069358,0.930744,0.930642,0.930663,0.907558,0.991275,0.977123,0.930592,0.930642,1.82,0.038,1.71875,0.03125,1718.75,31.25,8943821,2339561,262612,98.964803,31.987578,?,-1
snake_game-weka.filters.unsupervised.attribute.Remove-R31-weka.filters.supervised.instance.Resample-B0.0-S1-Z80.0-no-replacement,1,4,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20250328.1758,8688,965,893,72,0,92.53886,7.46114,0,0.900479,0.050798,0.169587,13.551083,39.17169,1929.222008,3483.424421,-1554.202413,1.999194,3.609766,-1.610572,1719.369916,1.78173,89.12245,0.909091,210,0.025886,19,0.974114,715,0.090909,21,0.917031,0.909091,0.913043,0.885848,0.986164,0.966362,0.925389,0.024818,0.975182,0.074611,0.925471,0.925389,0.925392,0.900617,0.991182,0.976388,0.925134,0.925389,1.863,0.035,1.71875,0.03125,1718.75,31.25,9005381,2339830,262343,98.549223,31.554404,?,-1
snake_game-weka.filters.unsupervised.attribute.Remove-R31-weka.filters.supervised.instance.Resample-B0.0-S1-Z80.0-no-replacement,1,5,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20250328.1758,8688,965,897,68,0,92.953368,7.046632,0,0.905996,0.04872,0.168314,12.996822,38.877607,1929.222008,8828.788373,-6899.566365,1.999194,9.149003,-7.14981,1727.081679,1.789722,89.522184,0.909091,210,0.019074,14,0.980926,720,0.090909,21,0.9375,0.909091,0.923077,0.899538,0.991964,0.968385,0.929534,0.023652,0.976348,0.070466,0.929666,0.929534,0.929514,0.906029,0.987885,0.968411,0.929541,0.929534,1.945,0.035,1.765625,0.03125,1765.625,31.25,8983783,2339830,262343,98.134715,31.062176,?,-1
snake_game-weka.filters.unsupervised.attribute.Remove-R31-weka.filters.supervised.instance.Resample-B0.0-S1-Z80.0-no-replacement,1,6,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20250328.1758,8688,965,880,85,0,91.19171,8.80829,0,0.882499,0.056927,0.188251,15.186153,43.482603,1929.243682,7824.173778,-5894.930097,1.999216,8.107952,-6.108736,1686.709067,1.747885,87.428513,0.904762,209,0.031335,23,0.968665,711,0.095238,22,0.900862,0.904762,0.902808,0.872137,0.982354,0.929389,0.911917,0.029461,0.970539,0.088083,0.912293,0.911917,0.911872,0.882701,0.985441,0.958092,0.911773,0.911917,1.916,0.035,1.828125,0.03125,1828.125,31.25,8776000,2339830,262343,97.409326,31.606218,?,-1
snake_game-weka.filters.unsupervised.attribute.Remove-R31-weka.filters.supervised.instance.Resample-B0.0-S1-Z80.0-no-replacement,1,7,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20250328.1758,8688,965,884,81,0,91.606218,8.393782,0,0.88807,0.055839,0.184376,14.895698,42.586887,1929.304852,7813.649265,-5884.344413,1.99928,8.097046,-6.097766,1696.309028,1.757833,87.923328,0.917749,212,0.031335,23,0.968665,711,0.082251,19,0.902128,0.917749,0.909871,0.881242,0.983575,0.949246,0.916062,0.027829,0.972171,0.083938,0.916453,0.916062,0.91609,0.888269,0.985947,0.961514,0.915994,0.916062,1.883,0.035,1.8125,0.03125,1812.5,31.25,8769997,2339830,262343,97.823834,31.036269,?,-1
snake_game-weka.filters.unsupervised.attribute.Remove-R31-weka.filters.supervised.instance.Resample-B0.0-S1-Z80.0-no-replacement,1,8,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20250328.1758,8688,965,880,85,0,91.19171,8.80829,0,0.882535,0.051959,0.176756,13.860449,40.82694,1929.304852,3505.972428,-1576.667576,1.99928,3.633132,-1.633852,1710.300437,1.772332,88.648532,0.922078,213,0.036785,27,0.963215,707,0.077922,18,0.8875,0.922078,0.904459,0.87391,0.986845,0.966576,0.911917,0.029166,0.970834,0.088083,0.912193,0.911917,0.911943,0.882777,0.990025,0.972085,0.911637,0.911917,2.054,0.037,1.828125,0.03125,1828.125,31.25,8871317,2339830,262343,98.341969,31.11399,?,-1
snake_game-weka.filters.unsupervised.attribute.Remove-R31-weka.filters.supervised.instance.Resample-B0.0-S1-Z80.0-no-replacement,1,9,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20250328.1758,8688,965,888,77,0,92.020725,7.979275,0,0.893569,0.054337,0.182027,14.495234,42.045486,1929.185764,4594.648561,-2665.462797,1.999156,4.761294,-2.762138,1700.67552,1.762358,88.155094,0.921739,212,0.031293,23,0.968707,712,0.078261,18,0.902128,0.921739,0.911828,0.883935,0.982712,0.955599,0.920207,0.026697,0.973303,0.079793,0.92063,0.920207,0.920269,0.893696,0.98803,0.965647,0.920366,0.920207,1.937,0.036,1.796875,0.03125,1796.875,31.25,8854772,2339830,262343,98.031088,31.632124,?,-1
