@relation 'snake_game-weka.filters.unsupervised.attribute.Remove-R31-weka.filters.unsupervised.attribute.Remove-R15-18,23-26-weka.filters.unsupervised.attribute.Remove-R5-7,9,17-18-weka.filters.unsupervised.attribute.Standardize-weka.filters.supervised.instance.Resample-B0.0-S1-Z80.0-no-replacement'

@attribute Head_x numeric
@attribute Head_y numeric
@attribute Food_x numeric
@attribute Food_y numeric
@attribute Dist_right_border numeric
@attribute Dist_bottom_border numeric
@attribute Dist_body_x1 numeric
@attribute Dist_body_y1 numeric
@attribute Dist_body_x2 numeric
@attribute Dist_body_y2 numeric
@attribute Tail_x numeric
@attribute Tail_y numeric
@attribute Prev_UP numeric
@attribute Prev_DOWN numeric
@attribute Prev_RIGHT numeric
@attribute direction {UP,DOWN,LEFT,RIGHT}

@data
-0.238294,-0.510875,-0.198804,-0.517875,0.238294,0.510875,-0.006082,-1.448132,-0.006422,-1.476495,0.577942,1.839455,1.788112,-0.578299,-0.589241,UP
-0.402677,-0.43068,-0.198804,-1.433789,0.402677,0.43068,-0.006082,-1.448132,-0.006422,-1.476495,0.496166,0.475764,1.788112,-0.578299,-0.589241,UP
1.241159,0.531664,0.085518,-1.504244,-1.241159,-0.531664,-0.006082,-1.448132,-0.006422,-1.476495,1.232152,1.358152,1.788112,-0.578299,-0.589241,UP
1.241159,-1.072242,0.085518,-1.504244,-1.241159,1.072242,-0.006082,-1.448132,-0.006422,-1.476495,1.232152,-0.24619,1.788112,-0.578299,-0.589241,UP
-1.142404,-0.43068,-0.980691,-0.517875,1.142404,0.43068,-0.006082,-1.448132,-0.006422,-1.476495,0.005508,0.636198,1.788112,-0.578299,-0.589241,UP
1.898694,-0.992046,1.649293,-1.433789,-1.898694,0.992046,-0.006082,-1.448132,-0.006422,-1.476495,1.886362,1.197718,1.788112,-0.578299,-0.589241,UP
0.172666,0.050492,0.085518,-1.574699,-0.172666,-0.050492,-0.006082,-1.448132,-0.006422,-1.476495,-1.302913,1.438369,1.788112,-0.578299,-0.589241,UP
-0.731444,-0.992046,1.507132,-0.30651,0.731444,0.992046,-0.006082,-1.448132,-0.718719,-0.747182,0.823271,-0.326407,1.788112,-0.578299,-0.589241,UP
-1.060212,0.210883,1.222809,-0.236055,1.060212,-0.210883,-0.006082,-1.448132,-0.006422,-1.476495,0.16906,0.957066,1.788112,-0.578299,-0.589241,UP
-1.471171,-0.911851,-1.193933,-1.01106,1.471171,0.911851,-0.006082,-1.448132,-0.006422,-1.476495,-1.548242,-1.449447,1.788112,-0.578299,-0.589241,UP
-1.717746,-0.992046,1.222809,-0.58833,1.717746,0.992046,-0.006082,-1.448132,-0.006422,-1.476495,0.659718,1.117501,1.788112,-0.578299,-0.589241,UP
0.8302,-0.992046,-0.483127,-1.433789,-0.8302,0.992046,-0.006082,-1.448132,-0.006422,-1.476495,0.250837,-0.165973,1.788112,-0.578299,-0.589241,UP
-0.97802,0.531664,1.222809,-0.376965,0.97802,-0.531664,-0.006082,-1.448132,-0.006422,-1.476495,-1.630018,1.277935,1.788112,-0.578299,-0.589241,UP
-0.731444,0.852445,0.796325,-1.222425,0.731444,-0.852445,-0.006082,-1.448132,-0.718719,-0.747182,0.905047,0.716415,1.788112,-0.578299,-0.589241,UP
-1.306787,0.772249,-1.051772,-0.024691,1.306787,-0.772249,-0.006082,-1.448132,-0.006422,-1.476495,0.496166,0.636198,1.788112,-0.578299,-0.589241,UP
-0.731444,1.333616,-0.412046,-0.72924,0.731444,-1.333616,-0.006082,-1.448132,-0.718719,-0.747182,-0.158045,-0.567059,1.788112,-0.578299,-0.589241,UP
-1.060212,0.852445,0.938486,0.468494,1.060212,-0.852445,-0.006082,-1.448132,0.705875,-0.747182,-1.221136,0.957066,1.788112,-0.578299,-0.589241,UP
-0.813636,0.852445,1.649293,-1.15197,0.813636,-0.852445,-0.006082,-1.448132,-0.006422,-1.476495,-0.321597,1.438369,1.788112,-0.578299,-0.589241,UP
0.254857,-1.393023,-0.767449,-1.574699,-0.254857,1.393023,-0.006082,-1.448132,-0.006422,-1.476495,0.250837,0.31533,1.788112,-0.578299,-0.589241,UP
-0.567061,0.852445,1.222809,-0.658785,0.567061,-0.852445,-0.006082,-1.448132,-0.718719,-0.747182,1.232152,0.555981,1.788112,-0.578299,-0.589241,UP
-1.224595,-0.510875,-1.193933,-0.236055,1.224595,0.510875,-0.006082,-1.448132,-0.006422,-1.476495,-0.566926,0.235112,1.788112,-0.578299,-0.589241,UP
1.158968,0.531664,-0.625288,-0.87015,-1.158968,-0.531664,-0.006082,-1.448132,-0.006422,-1.476495,-0.403374,0.31533,1.788112,-0.578299,-0.589241,UP
-1.799938,1.173226,-1.122853,0.468494,1.799938,-1.173226,-0.006082,-1.448132,-0.006422,-1.476495,1.641034,0.31533,1.788112,-0.578299,-0.589241,UP
