@relation 'snake_game-weka.filters.supervised.instance.Resample-B0.0-S1-Z80.0-no-replacement-weka.filters.unsupervised.instance.Resample-S1-Z80.0-no-replacement-weka.filters.unsupervised.instance.Resample-S1-Z80.0-no-replacement-weka.filters.unsupervised.attribute.Remove-R6,8,18-19-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0'

@attribute Head_x numeric
@attribute Head_y numeric
@attribute Food_x numeric
@attribute Food_y numeric
@attribute Score numeric
@attribute Dist_right_border numeric
@attribute Dist_bottom_border numeric
@attribute Dist_body_x1 numeric
@attribute Dist_body_y1 numeric
@attribute Dist_body_x2 numeric
@attribute Dist_body_y2 numeric
@attribute Tail_x numeric
@attribute Tail_y numeric
@attribute Horizontal_weight numeric
@attribute Vertical_weight numeric
@attribute direction {UP,DOWN,LEFT,RIGHT}

@data
0.87234,0.276596,1,0.26087,0.201054,0.12766,0.723404,0.5,1,0.5,1,0.93617,0.085106,0.617107,0.968323,DOWN
0.404255,0.574468,0.652174,0.043478,0.587346,0.595745,0.425532,0.5,0,0.5,0,0.531915,0.978723,0.939801,0.009451,UP
0.234043,0.914894,0.673913,0.5,0.553603,0.765957,0.085106,0.5,1,0.5,1,0.297872,0.319149,0.485904,0.993259,DOWN
0.468085,0.148936,0.043478,0.5,0.067838,0.531915,0.851064,0.5,1,0.5,1,0.468085,0.106383,0.5,0.838218,DOWN
0.148936,0,0.26087,0,0.188401,0.851064,1,1,0.5,1,0.5,0.12766,0.042553,0.034826,0.246242,RIGHT
0.765957,0.361702,0.913043,0.347826,0.359227,0.234043,0.638298,1,0.5,1,0.5,0.468085,0.425532,0.02073,0.415378,RIGHT
0.702128,0.489362,0.673913,0.630435,0.231634,0.297872,0.510638,0,0.5,0,0.5,0.978723,0.489362,0.971215,0.499946,DOWN
0.574468,0.553191,1,0.565217,0.106503,0.425532,0.446809,1,0.5,1,0.5,0.446809,0.553191,0.065032,0.499946,RIGHT
0.276596,0.617021,0.195652,0.043478,0.707909,0.723404,0.382979,1,0.5,1,0.5,0.531915,0.404255,0.349133,0.897644,RIGHT
0.468085,0.191489,0.065217,0.695652,0.11283,0.531915,0.808511,0.5,1,0.5,1,0.425532,0.148936,0.297015,0.905872,DOWN
0.276596,0.914894,0.565217,0.26087,0.286116,0.723404,0.085106,0,0.5,0,0.5,0.404255,0.531915,0.987164,0.905872,UP
0.829787,0.425532,0.869565,0.152174,0.391564,0.170213,0.574468,0.5,0,0.5,0,0.914894,0.191489,0.901742,0.499946,UP
0.404255,0.085106,0.913043,0,0.087873,0.595745,0.914894,0.5,0,0.5,0,0.404255,0.148936,0.5,0.11939,UP
0.404255,0.723404,0.413043,0.586957,0.064323,0.595745,0.276596,0.5,1,0.5,1,0.404255,0.595745,0.5,0.934867,DOWN
