@relation snake_game-weka.filters.unsupervised.attribute.Remove-R19-weka.filters.supervised.instance.Resample-B0.0-S1-Z80.0-no-replacement-weka.filters.unsupervised.attribute.Standardize

@attribute Head_x numeric
@attribute Head_y numeric
@attribute Food_x numeric
@attribute Food_y numeric
@attribute Dist_Food_x numeric
@attribute Dist_Food_y numeric
@attribute Dist_left_border numeric
@attribute Dist_right_border numeric
@attribute Dist_top_border numeric
@attribute Dist_bottom_border numeric
@attribute Dist_body_x1 numeric
@attribute Dist_body_y1 numeric
@attribute Dist_body_x2 numeric
@attribute Dist_body_y2 numeric
@attribute Prev_UP numeric
@attribute Prev_DOWN numeric
@attribute Prev_RIGHT numeric
@attribute direction {UP,DOWN,LEFT,RIGHT}

@data
1.200038,-1.280376,0.992686,-1.271473,-0.021125,-0.133856,1.200038,-1.200038,-1.280376,1.280376,-0.02609,-1.471747,-0.028521,-1.497021,1.827702,-0.573413,-0.608917,UP
-1.311162,1.039131,-1.119733,-1.410122,-0.021125,-1.912622,-1.311162,1.311162,1.039131,-1.039131,-0.02609,-1.471747,-0.732265,-0.761123,1.827702,-0.573413,-0.608917,UP
-1.143749,-1.520325,-0.978906,-1.548771,-0.021125,-0.191235,-1.143749,1.143749,-1.520325,1.520325,-0.02609,-1.471747,-0.028521,-1.497021,1.827702,-0.573413,-0.608917,UP
-1.897109,-0.160614,-1.612631,-1.271473,-0.021125,-0.937169,-1.897109,1.897109,-0.160614,0.160614,-0.02609,-1.471747,-0.028521,-1.497021,1.827702,-0.573413,-0.608917,UP
0.028145,-0.800478,0.00689,-1.271473,-0.021125,-0.478133,0.028145,-0.028145,-0.800478,0.800478,-0.02609,-1.471747,-0.028521,-1.497021,1.827702,-0.573413,-0.608917,UP
1.953398,0.879165,1.626412,-1.340797,-0.021125,-1.740483,1.953398,-1.953398,0.879165,-0.879165,-0.02609,-1.471747,0.675223,-0.761123,1.827702,-0.573413,-0.608917,UP
0.530385,-1.360359,0.429374,-1.271473,-0.021125,-0.076476,0.530385,-0.530385,-1.360359,1.360359,-0.02609,-1.471747,-0.028521,-1.497021,1.827702,-0.573413,-0.608917,UP
0.865211,0.239301,0.71103,-0.162283,-0.021125,-0.305994,0.865211,-0.865211,0.239301,-0.239301,-0.02609,-1.471747,-0.028521,-1.497021,1.827702,-0.573413,-0.608917,UP
-1.729695,-1.12041,-1.471803,-1.479446,-0.021125,-0.420753,-1.729695,1.729695,-1.12041,1.12041,-0.02609,-1.471747,-0.028521,-1.497021,1.827702,-0.573413,-0.608917,UP
-1.143749,-0.240597,-0.978906,-0.855527,-0.021125,-0.535513,-1.143749,1.143749,-0.240597,0.240597,-0.02609,-1.471747,-0.028521,-1.497021,1.827702,-0.573413,-0.608917,UP
