@relation 'snake_game-weka.filters.supervised.instance.Resample-B0.0-S1-Z80.0-no-replacement-weka.filters.unsupervised.attribute.Remove-R5-6,8,23-weka.filters.unsupervised.attribute.AddExpression-Ea1-a15-NDist_tail_x-weka.filters.unsupervised.attribute.AddExpression-Ea2-a16-NDist_tail_y-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,21,22,20-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0'

@attribute Head_x numeric
@attribute Head_y numeric
@attribute Food_x numeric
@attribute Food_y numeric
@attribute Dist_right_border numeric
@attribute Dist_bottom_border numeric
@attribute Dist_body_x1 numeric
@attribute Dist_body_y1 numeric
@attribute Dist_body_x2 numeric
@attribute Dist_body_y2 numeric
@attribute Dist_body_x3 numeric
@attribute Dist_body_y3 numeric
@attribute Dist_body_x4 numeric
@attribute Dist_body_y4 numeric
@attribute Tail_x numeric
@attribute Tail_y numeric
@attribute Horizontal_weight numeric
@attribute Vertical_weight numeric
@attribute Length numeric
@attribute Dist_tail_x numeric
@attribute Dist_tail_y numeric
@attribute direction {UP,DOWN,LEFT,RIGHT}

@data
0.787234,0.425532,0.76087,0.608696,0.212766,0.574468,0.5,0,0.5,0,0.056604,0,0.074074,0.255556,0.787234,0.531915,0.5,0.072895,0.076923,0.453125,0.40678,UP
0.93617,0.12766,0.978261,0.521739,0.06383,0.87234,0.5,0,0.5,0,1,1,1,1,0.93617,0.170213,0.5,0.158286,0,0.453125,0.457627,UP
0.553191,0.723404,0.5,0.478261,0.446809,0.276596,0.5,0,0.5,0,0.075472,0.018868,0.111111,0.555556,0.489362,0.765957,0.243902,0.072895,0.076923,0.5,0.457627,UP
0.808511,0.808511,0.804348,0.782609,0.191489,0.191489,0.5,0,0.5,0,0.056604,0,0.074074,0.444444,0.765957,1,0.414634,0.030199,0.230769,0.484375,0.338983,UP
0.808511,0.148936,0.847826,0.391304,0.191489,0.851064,0.5,0,0.5,0,0.056604,0,0.074074,0.1,0.787234,0.425532,0.465853,0.021661,0.307692,0.46875,0.271186,UP
0.702128,0.340426,0.304348,0.130435,0.297872,0.659574,0.5,0,0.5,0,0.056604,0,0.074074,0.255556,0.553191,0.680851,0.068678,0.000987,0.897436,0.5625,0.220339,UP
0.723404,0.12766,0.673913,0.195652,0.276596,0.87234,0.5,0,0.5,0,0.056604,0,0.074074,0.133333,0.468085,0.404255,0.106003,0.00721,0.589744,0.640625,0.271186,UP
0.702128,0.255319,0.652174,0,0.297872,0.744681,0.5,0,0.75,0.25,1,1,1,1,0.659574,0.276596,0.243902,0.115591,0.025641,0.484375,0.474576,UP
0,0.382979,0,0.586957,1,0.617021,0.5,0,0.5,0,1,1,1,1,0,0.446809,0.5,0.115591,0.025641,0.453125,0.440678,UP
0.638298,0.702128,0.608696,0.608696,0.361702,0.297872,0.5,0,0.5,0,0.056604,0,0.074074,0.477778,0.744681,0.787234,0.756098,0.038739,0.179487,0.375,0.423729,UP
