@relation 'snake_game-weka.filters.unsupervised.attribute.Remove-R7,9,17-18,23'

@attribute Head_x numeric
@attribute Head_y numeric
@attribute Food_x numeric
@attribute Food_y numeric
@attribute Dist_Food_x numeric
@attribute Dist_Food_y numeric
@attribute Dist_right_border numeric
@attribute Dist_bottom_border numeric
@attribute Dist_body_x1 numeric
@attribute Dist_body_y1 numeric
@attribute Dist_body_x2 numeric
@attribute Dist_body_y2 numeric
@attribute Dist_body_x3 numeric
@attribute Dist_body_y3 numeric
@attribute Prev_UP numeric
@attribute Prev_DOWN numeric
@attribute Prev_RIGHT numeric
@attribute direction {UP,DOWN,LEFT,RIGHT}

@data
100,50,380,30,280,-20,380,430,10,0,20,0,500,500,0,0,1,RIGHT
110,50,380,30,270,-20,370,430,10,0,20,0,500,500,0,0,1,RIGHT
120,50,380,30,260,-20,360,430,10,0,20,0,500,500,0,0,1,RIGHT
130,50,380,30,250,-20,350,430,10,0,20,0,500,500,0,0,1,RIGHT
140,50,380,30,240,-20,340,430,10,0,20,0,500,500,0,0,1,RIGHT
150,50,380,30,230,-20,330,430,10,0,20,0,500,500,0,0,1,RIGHT
160,50,380,30,220,-20,320,430,10,0,20,0,500,500,0,0,1,RIGHT
170,50,380,30,210,-20,310,430,10,0,20,0,500,500,0,0,1,RIGHT
180,50,380,30,200,-20,300,430,10,0,20,0,500,500,0,0,1,RIGHT
190,50,380,30,190,-20,290,430,10,0,20,0,500,500,0,0,1,RIGHT
200,50,380,30,180,-20,280,430,10,0,20,0,500,500,0,0,1,RIGHT
210,50,380,30,170,-20,270,430,10,0,20,0,500,500,0,0,1,RIGHT
220,50,380,30,160,-20,260,430,10,0,20,0,500,500,0,0,1,RIGHT
230,50,380,30,150,-20,250,430,10,0,20,0,500,500,0,0,1,RIGHT
240,50,380,30,140,-20,240,430,10,0,20,0,500,500,0,0,1,RIGHT
250,50,380,30,130,-20,230,430,10,0,20,0,500,500,0,0,1,RIGHT
260,50,380,30,120,-20,220,430,10,0,20,0,500,500,0,0,1,RIGHT
270,50,380,30,110,-20,210,430,10,0,20,0,500,500,0,0,1,RIGHT
280,50,380,30,100,-20,200,430,10,0,20,0,500,500,0,0,1,RIGHT
290,50,380,30,90,-20,190,430,10,0,20,0,500,500,0,0,1,RIGHT
300,50,380,30,80,-20,180,430,10,0,20,0,500,500,0,0,1,RIGHT
310,50,380,30,70,-20,170,430,10,0,20,0,500,500,0,0,1,RIGHT
320,50,380,30,60,-20,160,430,10,0,20,0,500,500,0,0,1,RIGHT
330,50,380,30,50,-20,150,430,10,0,20,0,500,500,0,0,1,RIGHT
340,50,380,30,40,-20,140,430,10,0,20,0,500,500,0,0,1,RIGHT
350,50,380,30,30,-20,130,430,10,0,20,0,500,500,0,0,1,RIGHT
360,50,380,30,20,-20,120,430,10,0,20,0,500,500,0,0,1,RIGHT
370,50,380,30,10,-20,110,430,10,0,20,0,500,500,0,0,1,RIGHT
380,50,380,30,0,-20,100,430,10,0,20,0,500,500,0,0,1,UP
