@relation 'snake_game-weka.filters.unsupervised.attribute.Remove-R23-weka.filters.unsupervised.attribute.Remove-R5-6,17-18'

@attribute Head_x numeric
@attribute Head_y numeric
@attribute Food_x numeric
@attribute Food_y numeric
@attribute Dist_left_border numeric
@attribute Dist_right_border numeric
@attribute Dist_top_border numeric
@attribute Dist_bottom_border numeric
@attribute Dist_body_x1 numeric
@attribute Dist_body_y1 numeric
@attribute Dist_body_x2 numeric
@attribute Dist_body_y2 numeric
@attribute Dist_body_x3 numeric
@attribute Dist_body_y3 numeric
@attribute Prev_UP numeric
@attribute Prev_DOWN numeric
@attribute Prev_RIGHT numeric
@attribute direction {UP,DOWN,LEFT,RIGHT}

@data
100,50,380,30,100,380,50,430,10,0,20,0,500,500,0,0,1,RIGHT
110,50,380,30,110,370,50,430,10,0,20,0,500,500,0,0,1,RIGHT
120,50,380,30,120,360,50,430,10,0,20,0,500,500,0,0,1,RIGHT
130,50,380,30,130,350,50,430,10,0,20,0,500,500,0,0,1,RIGHT
140,50,380,30,140,340,50,430,10,0,20,0,500,500,0,0,1,RIGHT
150,50,380,30,150,330,50,430,10,0,20,0,500,500,0,0,1,RIGHT
160,50,380,30,160,320,50,430,10,0,20,0,500,500,0,0,1,RIGHT
170,50,380,30,170,310,50,430,10,0,20,0,500,500,0,0,1,RIGHT
180,50,380,30,180,300,50,430,10,0,20,0,500,500,0,0,1,RIGHT
190,50,380,30,190,290,50,430,10,0,20,0,500,500,0,0,1,RIGHT
200,50,380,30,200,280,50,430,10,0,20,0,500,500,0,0,1,RIGHT
210,50,380,30,210,270,50,430,10,0,20,0,500,500,0,0,1,RIGHT
220,50,380,30,220,260,50,430,10,0,20,0,500,500,0,0,1,RIGHT
230,50,380,30,230,250,50,430,10,0,20,0,500,500,0,0,1,RIGHT
240,50,380,30,240,240,50,430,10,0,20,0,500,500,0,0,1,RIGHT
250,50,380,30,250,230,50,430,10,0,20,0,500,500,0,0,1,RIGHT
260,50,380,30,260,220,50,430,10,0,20,0,500,500,0,0,1,RIGHT
270,50,380,30,270,210,50,430,10,0,20,0,500,500,0,0,1,RIGHT
280,50,380,30,280,200,50,430,10,0,20,0,500,500,0,0,1,RIGHT
290,50,380,30,290,190,50,430,10,0,20,0,500,500,0,0,1,RIGHT
300,50,380,30,300,180,50,430,10,0,20,0,500,500,0,0,1,RIGHT
310,50,380,30,310,170,50,430,10,0,20,0,500,500,0,0,1,RIGHT
320,50,380,30,320,160,50,430,10,0,20,0,500,500,0,0,1,RIGHT
330,50,380,30,330,150,50,430,10,0,20,0,500,500,0,0,1,RIGHT
340,50,380,30,340,140,50,430,10,0,20,0,500,500,0,0,1,RIGHT
350,50,380,30,350,130,50,430,10,0,20,0,500,500,0,0,1,RIGHT
360,50,380,30,360,120,50,430,10,0,20,0,500,500,0,0,1,RIGHT
370,50,380,30,370,110,50,430,10,0,20,0,500,500,0,0,1,RIGHT
380,50,380,30,380,100,50,430,10,0,20,0,500,500,0,0,1,UP
380,40,380,30,380,100,40,440,0,-10,10,-10,500,500,1,0,0,UP
380,30,260,280,380,100,30,450,0,-10,0,-20,500,500,1,0,0,UP
380,20,260,280,380,100,20,460,0,-10,0,-20,500,500,1,0,0,RIGHT
390,20,260,280,390,90,20,460,10,0,10,-10,500,500,0,0,1,RIGHT
400,20,260,280,400,80,20,460,10,0,20,0,500,500,0,0,1,RIGHT
410,20,260,280,410,70,20,460,10,0,20,0,500,500,0,0,1,RIGHT
420,20,260,280,420,60,20,460,10,0,20,0,500,500,0,0,1,RIGHT
430,20,260,280,430,50,20,460,10,0,20,0,500,500,0,0,1,RIGHT
440,20,260,280,440,40,20,460,10,0,20,0,500,500,0,0,1,RIGHT
450,20,260,280,450,30,20,460,10,0,20,0,500,500,0,0,1,DOWN
450,30,260,280,450,30,30,450,0,10,10,10,500,500,0,1,0,DOWN
450,40,260,280,450,30,40,440,0,10,0,20,500,500,0,1,0,DOWN
450,50,260,280,450,30,50,430,0,10,0,20,500,500,0,1,0,DOWN
450,60,260,280,450,30,60,420,0,10,0,20,500,500,0,1,0,DOWN
